horario,ear,status
17:37:20,0.113,Fadiga
17:37:20,0.121,Fadiga
17:37:20,0.108,Fadiga
17:37:20,0.102,Fadiga
17:37:21,0.106,Fadiga
17:37:21,0.117,Fadiga
17:37:21,0.122,Fadiga
17:37:21,0.119,Fadiga
17:37:21,0.112,Fadiga
17:37:21,0.194,Fadiga
17:37:21,0.203,Fadiga
17:37:22,0.193,Fadiga
17:37:22,0.187,Fadiga
17:37:22,0.2,Fadiga
17:37:22,0.128,Fadiga
17:37:22,0.141,Fadiga
17:37:22,0.158,Fadiga
17:37:22,0.148,Fadiga
17:37:23,0.108,Fadiga
17:37:23,0.182,Fadiga
17:37:23,0.184,Fadiga
17:37:23,0.193,Fadiga
17:37:23,0.164,Fadiga
17:37:23,0.138,Fadiga
17:37:24,0.124,Fadiga
17:37:24,0.137,Fadiga
17:37:24,0.125,Fadiga
17:37:24,0.112,Fadiga
17:37:24,0.129,Fadiga
17:37:24,0.191,Fadiga
17:37:24,0.151,Fadiga
17:37:25,0.149,Fadiga
17:37:25,0.118,Fadiga
17:37:25,0.132,Fadiga
17:37:25,0.131,Fadiga
17:37:25,0.125,Fadiga
17:37:25,0.128,Fadiga
17:37:25,0.136,Fadiga
17:37:26,0.134,Fadiga
17:37:26,0.083,Fadiga
17:37:26,0.102,Fadiga
17:37:26,0.096,Fadiga
17:37:26,0.116,Fadiga
17:37:26,0.111,Fadiga
17:37:26,0.22,Fadiga
17:37:27,0.221,Fadiga
17:37:27,0.188,Fadiga
17:37:27,0.191,Fadiga
17:37:27,0.173,Fadiga
17:37:27,0.184,Fadiga
17:37:27,0.212,Fadiga
17:37:28,0.188,Fadiga
17:37:28,0.182,Fadiga
17:37:28,0.212,Fadiga
17:37:28,0.168,Fadiga
17:37:28,0.186,Fadiga
17:37:28,0.182,Fadiga
17:37:28,0.204,Fadiga
17:37:29,0.146,Fadiga
17:37:29,0.143,Fadiga
17:37:29,0.151,Fadiga
17:37:29,0.175,Fadiga
17:37:29,0.148,Fadiga
17:37:29,0.093,Fadiga
17:37:29,0.118,Fadiga
17:37:30,0.105,Fadiga
17:37:30,0.13,Fadiga
17:37:30,0.108,Fadiga
17:37:30,0.094,Fadiga
17:37:30,0.115,Fadiga
17:37:30,0.112,Fadiga
17:37:30,0.106,Fadiga
17:37:31,0.216,Fadiga
17:37:31,0.216,Fadiga
17:37:31,0.199,Fadiga
17:37:31,0.18,Fadiga
17:37:31,0.178,Fadiga
17:37:31,0.176,Fadiga
17:37:31,0.192,Fadiga
17:37:31,0.194,Fadiga
17:37:32,0.159,Fadiga
17:37:32,0.172,Fadiga
17:37:32,0.191,Fadiga
17:37:32,0.164,Fadiga
17:37:32,0.182,Fadiga
17:37:32,0.21,Fadiga
17:37:32,0.222,Fadiga
17:37:32,0.28,Normal
17:37:32,0.265,Normal
17:37:32,0.258,Normal
17:37:32,0.277,Normal
17:37:32,0.259,Normal
17:37:32,0.261,Normal
17:37:32,0.283,Normal
17:37:33,0.276,Normal
17:37:33,0.259,Normal
17:37:33,0.254,Normal
17:37:33,0.273,Normal
17:37:33,0.267,Normal
17:37:33,0.274,Normal
17:37:33,0.268,Normal
17:37:33,0.277,Normal
17:37:33,0.286,Normal
17:37:33,0.277,Normal
17:37:33,0.26,Normal
17:37:33,0.26,Normal
17:37:33,0.262,Normal
17:37:33,0.257,Normal
17:37:33,0.264,Normal
17:37:33,0.248,Fadiga
17:37:33,0.261,Normal
17:37:33,0.258,Normal
17:37:33,0.254,Normal
17:37:33,0.249,Fadiga
17:37:33,0.257,Normal
